SKU,Name,Type,Categories,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Images,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: _wp_page_template
,Timberland Men's Classic Premium Waterproof Boot,simple,"Men",1,0,visible,"Iconic waterproof boot for rugged style and protection.","Experience the legendary comfort and durability of the Timberland Classic Premium Waterproof Boot. Crafted with premium leather and sealed seams, these boots offer unbeatable protection against the elements. Perfect for outdoor adventures or everyday wear.",,,taxable,parent,1,10,2,0,0,,,,,1,,"Rs. 18,500","Rs. 22,000","http://wordpress.test/wp-content/uploads/2025/03/Sk8-Hi.jpg",0,Size,"US 8, US 9, US 10, US 11",1,1,,""
,Adidas Women's Ultraboost DNA Running Shoe,simple,"Women",1,0,visible,"Lightweight and responsive running shoe for everyday comfort.","Experience the ultimate in comfort and performance with the Adidas Ultraboost DNA Running Shoe. Featuring a responsive Boost midsole and a breathable Primeknit upper, these shoes are perfect for running, training, or everyday wear.",,,taxable,parent,1,15,3,0,0,,,,,1,,"Rs. 15,000","Rs. 18,000","http://wordpress.test/wp-content/uploads/2025/03/Sk8-Hi.jpg",0,Size,"US 6, US 7, US 8, US 9",1,1,,""
,Nike Men's Air Max 90 Sneaker,simple,"Men",1,0,visible,"Classic Air Max style with iconic cushioning and comfort.","Step out in style with the Nike Air Max 90 Sneaker. Featuring a visible Air Max unit in the heel for iconic cushioning and a durable leather and textile upper, these sneakers are perfect for everyday wear.",,,taxable,parent,1,12,2,0,0,,,,,1,,"Rs. 14,000","Rs. 16,500","http://wordpress.test/wp-content/uploads/2025/03/Sk8-Hi.jpg",0,Size,"US 8, US 9, US 10, US 11",1,1,,""
,Puma Women's Cali Sport Mix Sneaker,simple,"Women",1,0,visible,"Retro-inspired sneaker with a modern platform design.","Add a touch of retro style to your look with the Puma Cali Sport Mix Sneaker. Featuring a leather upper with suede overlays and a chunky platform sole, these sneakers are perfect for everyday wear.",,,taxable,parent,1,18,3,0,0,,,,,1,,"Rs. 9,500","Rs. 11,000","http://wordpress.test/wp-content/uploads/2025/03/Sk8-Hi.jpg",0,Size,"US 6, US 7, US 8, US 9",1,1,,""
,Timberland Women's Nellie Waterproof Chukka Boot,simple,"Women",1,0,visible,"Durable and stylish chukka boot for all-weather protection.","Stay comfortable and protected in any weather with the Timberland Nellie Waterproof Chukka Boot. Featuring a waterproof leather upper and a durable rubber outsole, these boots are perfect for everyday wear.",,,taxable,parent,1,10,2,0,0,,,,,1,,"Rs. 16,000","Rs. 19,000","http://wordpress.test/wp-content/uploads/2025/03/Sk8-Hi.jpg",0,Size,"US 6, US 7, US 8, US 9",1,1,,""
,Adidas Men's NMD_R1 Sneaker,simple,"Men",1,0,visible,"Modern and stylish sneaker with a comfortable Boost midsole.","Experience the ultimate in comfort and style with the Adidas NMD_R1 Sneaker. Featuring a lightweight knit upper and a responsive Boost midsole, these sneakers are perfect for everyday wear.",,,taxable,parent,1,15,3,0,0,,,,,1,,"Rs. 13,500","Rs. 16,000","http://wordpress.test/wp-content/uploads/2025/03/Sk8-Hi.jpg",0,Size,"US 8, US 9, US 10, US 11",1,1,,""
,Nike Women's React Element 55 Sneaker,simple,"Women",1,0,visible,"Lightweight and comfortable sneaker with a futuristic design.","Step into the future of comfort with the Nike React Element 55 Sneaker. Featuring a lightweight textile upper and a responsive React midsole, these sneakers are perfect for everyday wear.",,,taxable,parent,1,12,2,0,0,,,,,1,,"Rs. 12,000","Rs. 14,500","http://wordpress.test/wp-content/uploads/2025/03/Sk8-Hi.jpg",0,Size,"US 6, US 7, US 8, US 9",1,1,,""
,Puma Men's RS-X³ Puzzle Sneaker,simple,"Men",1,0,visible,"Bold and chunky sneaker with a retro-inspired design.","Make a statement with the Puma RS-X³ Puzzle Sneaker. Featuring a leather and mesh upper with bold overlays and a chunky sole, these sneakers are perfect for everyday wear.",,,taxable,parent,1,18,3,0,0,,,,,1,,"Rs. 10,000","Rs. 12,000","http://wordpress.test/wp-content/uploads/2025/03/Sk8-Hi.jpg",0,Size,"US 8, US 9, US 10, US 11",1,1,,""
,Adidas Men's Stan Smith Sneaker,simple,"Men",1,0,visible,"Classic tennis shoe with a clean and timeless design.","A true icon of style, the Adidas Stan Smith Sneaker offers a clean and minimalist look that never goes out of fashion. Crafted with a leather upper and featuring the signature perforated three stripes, these sneakers are perfect for everyday wear.",,,taxable,parent,1,14,2,0,0,,,,,1,,"Rs. 11,000","Rs. 13,000","http://wordpress.test/wp-content/uploads/2025/03/Sk8-Hi.jpg",0,Size,"US 8, US 9, US 10, US 11",1,1,,""
,Nike Women's Air Force 1 '07 Sneaker,simple,"Women",1,0,visible,"Legendary basketball shoe with iconic style and comfort.","Experience the classic style and comfort of the Nike Air Force 1 '07 Sneaker. Featuring a durable leather upper and Nike Air cushioning, these sneakers are perfect for everyday wear.",,,taxable,parent,1,16,3,0,0,,,,,1,,"Rs. 14,500","Rs. 17,000","http://wordpress.test/wp-content/uploads/2025/03/Sk8-Hi.jpg",0,Size,"US 6, US 7, US 8, US 9",1,1,,""
